,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
165,0.9633251833740831,MF 2691 단테 소가죽 3홀 더비 구두 밴타블랙,마이애미프로젝트,4900.0,2692,483,4.8,1500.0
166,0.9631029117581685,미니멀 스퀘어토 집업 부츠 R22M079 (블랙),로맨틱무브,2800.0,4844,861,4.8,1300.0
167,0.9628806401422538,WISLEY RIBBON FLAT - CREAM,락피쉬웨더웨어,5200.0,765,24,4.8,100.0
168,0.9626583685263392,뉴 베이직 더비  R22M023 (블랙),로맨틱무브,2800.0,1447,103,4.8,300.0
169,0.9624360969104245,WALLABEE W 26155522,클락스,1500.0,421,41,4.6,100.0
170,0.9622138252945099,875 니스 콜프 3홀 더비 구두 루시블랙,비에스큐티바이클래시,3000.0,7304,2939,4.6,1100.0
171,0.9619915536785952,994 캐스케이드 7홀 더비 워커 루시블랙,비에스큐티바이클래시,2700.0,9098,1411,4.7,1700.0
172,0.9617692820626806,C 로고 슬라이드 화이트,커버낫,7500.0,792,37,4.9,300.0
173,0.9615470104467659,WISLEY SCRUNCH FLAT - WHITE,락피쉬웨더웨어,5200.0,594,12,4.9,50.0
174,0.9613247388308513,슬라이드 ZEROVITY 크림,토앤토,6400.0,2567,410,4.8,600.0
175,0.9611024672149366,드로우핏 X 슈펜 베이직 더비 HPMR7CA55M,슈펜,4300.0,882,24,4.9,200.0
176,0.960880195599022,뉴 클래식 더비 R20M102 (Black),로맨틱무브,2000.0,4630,1720,4.8,600.0
177,0.9606579239831073,커뮤터 블랙,포스트맨,1400.0,321,87,5.0,200.0
178,0.9604356523671927,WISLEY SCRUNCH FLAT - BEIGE,락피쉬웨더웨어,4400.0,452,25,4.9,50.0
179,0.960213380751278,1490 벡스 W/집,닥터마틴,3800.0,1949,56,4.9,100.0
180,0.9599911091353635,DESERT TREK 26155486,클락스,2200.0,588,62,4.8,100.0
181,0.9597688375194487,라운드 미드 카프 첼시 부츠 [블랙],무신사 스탠다드,2300.0,1437,303,4.7,400.0
182,0.9595465659035342,슬라이드 ZEROVITY 블랙,토앤토,4300.0,2496,687,4.7,1100.0
183,0.9593242942876195,와이드 스퀘어 페니 로퍼 [블랙],무신사 스탠다드,5400.0,2037,341,4.7,1000.0
184,0.9591020226717049,샌드라인 3 (L/BEIGE),디스커버리 익스페디션,6200.0,2068,418,4.9,1000.0
185,0.9588797510557902,아딜렛 22 - 라이트 핑크 / HP6516,아디다스,4500.0,309,17,4.6,100.0
186,0.9586574794398756,스퀘어 버클 통굽 하이 로퍼  (BLACK),세스띠,4000.0,5288,371,4.7,600.0
187,0.9584352078239609,C-LOG 에크루,커버낫,6500.0,1358,116,4.8,300.0
188,0.9582129362080463,라운드 토 스티치 레이스업 로퍼 412215009 (4.5cm/1color),솔트앤초콜릿,3800.0,2242,104,4.7,300.0
